date,GDP in millions,date_1
1/1/1948,265742,1/1/1948
4/1/1948,272567,4/1/1948
7/1/1948,279196,7/1/1948
10/1/1948,280366,10/1/1948
1/1/1949,275034,1/1/1949
4/1/1949,271351,4/1/1949
7/1/1949,272889,7/1/1949
10/1/1949,270627,10/1/1949
1/1/1950,280828,1/1/1950
4/1/1950,290383,4/1/1950
7/1/1950,308153,7/1/1950
10/1/1950,319945,10/1/1950
1/1/1951,336000,1/1/1951
4/1/1951,344090,4/1/1951
7/1/1951,351385,7/1/1951
10/1/1951,356178,10/1/1951
1/1/1952,359820,1/1/1952
4/1/1952,361030,4/1/1952
7/1/1952,367701,7/1/1952
10/1/1952,380812,10/1/1952
1/1/1953,387980,1/1/1953
4/1/1953,391749,4/1/1953
7/1/1953,391171,7/1/1953
10/1/1953,385970,10/1/1953
1/1/1954,385345,1/1/1954
4/1/1954,386121,4/1/1954
7/1/1954,390996,7/1/1954
10/1/1954,399734,10/1/1954
1/1/1955,413073,1/1/1955
4/1/1955,421532,4/1/1955
7/1/1955,430221,7/1/1955
10/1/1955,437092,10/1/1955
1/1/1956,439746,1/1/1956
4/1/1956,446010,4/1/1956
7/1/1956,451191,7/1/1956
10/1/1956,460463,10/1/1956
1/1/1957,469779,1/1/1957
4/1/1957,472025,4/1/1957
7/1/1957,479490,7/1/1957
10/1/1957,474864,10/1/1957
1/1/1958,467540,1/1/1958
4/1/1958,471978,4/1/1958
7/1/1958,485841,7/1/1958
10/1/1958,499555,10/1/1958
1/1/1959,510330,1/1/1959
4/1/1959,522653,4/1/1959
7/1/1959,525034,7/1/1959
10/1/1959,528600,10/1/1959
1/1/1960,542648,1/1/1960
4/1/1960,541080,4/1/1960
7/1/1960,545604,7/1/1960
10/1/1960,540197,10/1/1960
1/1/1961,545018,1/1/1961
4/1/1961,555545,4/1/1961
7/1/1961,567664,7/1/1961
10/1/1961,580612,10/1/1961
1/1/1962,594013,1/1/1962
4/1/1962,600366,4/1/1962
7/1/1962,609027,7/1/1962
10/1/1962,612280,10/1/1962
1/1/1963,621672,1/1/1963
4/1/1963,629752,4/1/1963
7/1/1963,644444,7/1/1963
10/1/1963,653938,10/1/1963
1/1/1964,669822,1/1/1964
4/1/1964,678674,4/1/1964
7/1/1964,692031,7/1/1964
10/1/1964,697319,10/1/1964
1/1/1965,717790,1/1/1965
4/1/1965,730191,4/1/1965
7/1/1965,749323,7/1/1965
10/1/1965,771857,10/1/1965
1/1/1966,795734,1/1/1966
4/1/1966,804981,4/1/1966
7/1/1966,819638,7/1/1966
10/1/1966,833302,10/1/1966
1/1/1967,844170,1/1/1967
4/1/1967,848983,4/1/1967
7/1/1967,865233,7/1/1967
10/1/1967,881439,10/1/1967
1/1/1968,909387,1/1/1968
4/1/1968,934344,4/1/1968
7/1/1968,950825,7/1/1968
10/1/1968,968030,10/1/1968
1/1/1969,993337,1/1/1969
4/1/1969,1009020,4/1/1969
7/1/1969,1029956,7/1/1969
10/1/1969,1038147,10/1/1969
1/1/1970,1051200,1/1/1970
4/1/1970,1067375,4/1/1970
7/1/1970,1086059,7/1/1970
10/1/1970,1088608,10/1/1970
1/1/1971,1135156,1/1/1971
4/1/1971,1156271,4/1/1971
7/1/1971,1177675,7/1/1971
10/1/1971,1190297,10/1/1971
1/1/1972,1230609,1/1/1972
4/1/1972,1266369,4/1/1972
7/1/1972,1290566,7/1/1972
10/1/1972,1328904,10/1/1972
1/1/1973,1377490,1/1/1973
4/1/1973,1413887,4/1/1973
7/1/1973,1433838,7/1/1973
10/1/1973,1476289,10/1/1973
1/1/1974,1491209,1/1/1974
4/1/1974,1530056,4/1/1974
7/1/1974,1560026,7/1/1974
10/1/1974,1599679,10/1/1974
1/1/1975,1616116,1/1/1975
4/1/1975,1651853,4/1/1975
7/1/1975,1709820,7/1/1975
10/1/1975,1761831,10/1/1975
1/1/1976,1820487,1/1/1976
4/1/1976,1852332,4/1/1976
7/1/1976,1886558,7/1/1976
10/1/1976,1934273,10/1/1976
1/1/1977,1988648,1/1/1977
4/1/1977,2055909,4/1/1977
7/1/1977,2118473,7/1/1977
10/1/1977,2164270,10/1/1977
1/1/1978,2202760,1/1/1978
4/1/1978,2331633,4/1/1978
7/1/1978,2395053,7/1/1978
10/1/1978,2476949,10/1/1978
1/1/1979,2526610,1/1/1979
4/1/1979,2591247,4/1/1979
7/1/1979,2667565,7/1/1979
10/1/1979,2723883,10/1/1979
1/1/1980,2789842,1/1/1980
4/1/1980,2797352,4/1/1980
7/1/1980,2856483,7/1/1980
10/1/1980,2985557,10/1/1980
1/1/1981,3124206,1/1/1981
4/1/1981,3162532,4/1/1981
7/1/1981,3260609,7/1/1981
10/1/1981,3280818,10/1/1981
1/1/1982,3274302,1/1/1982
4/1/1982,3331972,4/1/1982
7/1/1982,3366322,7/1/1982
10/1/1982,3402561,10/1/1982
1/1/1983,3473413,1/1/1983
4/1/1983,3578848,4/1/1983
7/1/1983,3689179,7/1/1983
10/1/1983,3794706,10/1/1983
1/1/1984,3908054,1/1/1984
4/1/1984,4009601,4/1/1984
7/1/1984,4084250,7/1/1984
10/1/1984,4148551,10/1/1984
1/1/1985,4230168,1/1/1985
4/1/1985,4294887,4/1/1985
7/1/1985,4386773,7/1/1985
10/1/1985,4444094,10/1/1985
1/1/1986,4507894,1/1/1986
4/1/1986,4545340,4/1/1986
7/1/1986,4607669,7/1/1986
10/1/1986,4657627,10/1/1986
1/1/1987,4722156,1/1/1987
4/1/1987,4806160,4/1/1987
7/1/1987,4884555,7/1/1987
10/1/1987,5007994,10/1/1987
1/1/1988,5073372,1/1/1988
4/1/1988,5190036,4/1/1988
7/1/1988,5282835,7/1/1988
10/1/1988,5399509,10/1/1988
1/1/1989,5511253,1/1/1989
4/1/1989,5612463,4/1/1989
7/1/1989,5695365,7/1/1989
10/1/1989,5747237,10/1/1989
1/1/1990,5872701,1/1/1990
4/1/1990,5960028,4/1/1990
7/1/1990,6015116,7/1/1990
10/1/1990,6004733,10/1/1990
1/1/1991,6035178,1/1/1991
4/1/1991,6126862,4/1/1991
7/1/1991,6205937,7/1/1991
10/1/1991,6264540,10/1/1991
1/1/1992,6363102,1/1/1992
4/1/1992,6470763,4/1/1992
7/1/1992,6566641,7/1/1992
10/1/1992,6680803,10/1/1992
1/1/1993,6729459,1/1/1993
4/1/1993,6808939,4/1/1993
7/1/1993,6882098,7/1/1993
10/1/1993,7013738,10/1/1993
1/1/1994,7115652,1/1/1994
4/1/1994,7246931,4/1/1994
7/1/1994,7331075,7/1/1994
10/1/1994,7455288,10/1/1994
1/1/1995,7522289,1/1/1995
4/1/1995,7580997,4/1/1995
7/1/1995,7683125,7/1/1995
10/1/1995,7772586,10/1/1995
1/1/1996,7868468,1/1/1996
4/1/1996,8032840,4/1/1996
7/1/1996,8131408,7/1/1996
10/1/1996,8259771,10/1/1996
1/1/1997,8362655,1/1/1997
4/1/1997,8518825,4/1/1997
7/1/1997,8662823,7/1/1997
10/1/1997,8765907,10/1/1997
1/1/1998,8866480,1/1/1998
4/1/1998,8969699,4/1/1998
7/1/1998,9121097,7/1/1998
10/1/1998,9293991,10/1/1998
1/1/1999,9417264,1/1/1999
4/1/1999,9524152,4/1/1999
7/1/1999,9681856,7/1/1999
10/1/1999,9899378,10/1/1999
1/1/2000,10002857,1/1/2000
4/1/2000,10247679,4/1/2000
7/1/2000,10319825,7/1/2000
10/1/2000,10439025,10/1/2000
1/1/2001,10472879,1/1/2001
4/1/2001,10597822,4/1/2001
7/1/2001,10596294,7/1/2001
10/1/2001,10660294,10/1/2001
1/1/2002,10788952,1/1/2002
4/1/2002,10893207,4/1/2002
7/1/2002,10992051,7/1/2002
10/1/2002,11071463,10/1/2002
1/1/2003,11183507,1/1/2003
4/1/2003,11312875,4/1/2003
7/1/2003,11567326,7/1/2003
10/1/2003,11769275,10/1/2003
1/1/2004,11920169,1/1/2004
4/1/2004,12108987,4/1/2004
7/1/2004,12303340,7/1/2004
10/1/2004,12522425,10/1/2004
1/1/2005,12761337,1/1/2005
4/1/2005,12910022,4/1/2005
7/1/2005,13142873,7/1/2005
10/1/2005,13332316,10/1/2005
1/1/2006,13603933,1/1/2006
4/1/2006,13749806,4/1/2006
7/1/2006,13867469,7/1/2006
10/1/2006,14037228,10/1/2006
1/1/2007,14208569,1/1/2007
4/1/2007,14382363,4/1/2007
7/1/2007,14535003,7/1/2007
10/1/2007,14681501,10/1/2007
1/1/2008,14651039,1/1/2008
4/1/2008,14805611,4/1/2008
7/1/2008,14835187,7/1/2008
10/1/2008,14559543,10/1/2008
1/1/2009,14394547,1/1/2009
4/1/2009,14352850,4/1/2009
7/1/2009,14420312,7/1/2009
10/1/2009,14628021,10/1/2009
1/1/2010,14721350,1/1/2010
4/1/2010,14926098,4/1/2010
7/1/2010,15079917,7/1/2010
10/1/2010,15240843,10/1/2010
1/1/2011,15285828,1/1/2011
4/1/2011,15496189,4/1/2011
7/1/2011,15591850,7/1/2011
10/1/2011,15796460,10/1/2011
1/1/2012,16019758,1/1/2012
4/1/2012,16152257,4/1/2012
7/1/2012,16257151,7/1/2012
10/1/2012,16358863,10/1/2012
1/1/2013,16569591,1/1/2013
4/1/2013,16637926,4/1/2013
7/1/2013,16848748,7/1/2013
10/1/2013,17083137,10/1/2013
1/1/2014,17104555,1/1/2014
4/1/2014,17432909,4/1/2014
7/1/2014,17721657,7/1/2014
10/1/2014,17849912,10/1/2014
1/1/2015,17984178,1/1/2015
4/1/2015,18219405,4/1/2015
7/1/2015,18344713,7/1/2015
10/1/2015,18350825,10/1/2015
1/1/2016,18424283,1/1/2016
4/1/2016,18637253,4/1/2016
7/1/2016,18806743,7/1/2016
10/1/2016,18991883,10/1/2016
1/1/2017,19190431,1/1/2017
4/1/2017,19356649,4/1/2017
7/1/2017,19611704,7/1/2017
10/1/2017,19918910,10/1/2017
1/1/2018,20163159,1/1/2018
4/1/2018,20510177,4/1/2018
7/1/2018,20749752,7/1/2018
10/1/2018,20897804,10/1/2018
1/1/2019,21098827,1/1/2019
4/1/2019,21340267,4/1/2019
7/1/2019,21542540,7/1/2019
10/1/2019,21729124,10/1/2019
1/1/2020,21537940,1/1/2020
